geoext:constituentPartIdentifier,geoext:name,geoext:language,geoext:nameType,geoext:nameIdentifier,geoext:classificationCode,geoext:isPreferredName,geoext:namePublishedIn,geoext:nameRemarks
emu:/test/etaxonomy/1006689-0,Hübnerite,,,,,,,
emu:/test/etaxonomy/1011839-0,Rhodochrosite,,,,,,,
emu:/test/etaxonomy/10090815-0,Tonstein,,,,,,,
emu:/test/etaxonomy/1001577-0,Flint clay,,,,,,,
emu:/test/etaxonomy/1003263-0,Cinnabar,,,,,,,
emu:/test/etaxonomy/1003328-0,Claystone,,,,,,,
emu:/test/etaxonomy/1011241-0,Pyrargyrite,,,,,,,
emu:/test/etaxonomy/1000833-0,Amblygonite,,,,,,,
emu:/test/etaxonomy/1011427-1,Quartz,,,,,,,
emu:/test/etaxonomy/1001427-0,Asbestos,,,,,,,
emu:/test/etaxonomy/1005101-0,Muscovite (var. fuchsite),,,,,,,
emu:/test/etaxonomy/1000075-0,Acanthite,,,,,,,
emu:/test/etaxonomy/1001319-1,Argentite,,,,,,,
emu:/test/etaxonomy/1004318-1,Domite,,,,,,,
emu:/test/etaxonomy/1016305-1,Quartz (var. chalcedony),,,,,,,
emu:/test/etaxonomy/1014545-0,Rhyolite tuff,,,,,,,
emu:/test/etaxonomy/1014910-0,Vitrophyre,,,,,,,
emu:/test/etaxonomy/1011862-0,Rhyodacite,,,,,,,
emu:/test/etaxonomy/10053316-1,Glass,,,,,,,
emu:/test/etaxonomy/1004804-0,Ferberite,,,,,,,
emu:/test/etaxonomy/1007645-1,Latite,,,,,,,
emu:/test/etaxonomy/1015483-1,Zeolite,,,,,,,
emu:/test/etaxonomy/1012344-2,Saponite,,,,,,,
emu:/test/etaxonomy/1016446-0,Basaltic-andesite,,,,,,,
emu:/test/etaxonomy/1009644-1,Olivine,,,,,,,
emu:/test/etaxonomy/1011363-2,Pyroxene,,,,,,,
emu:/test/etaxonomy/1009644-2,Olivine,,,,,,,
emu:/test/etaxonomy/1011363-3,Pyroxene,,,,,,,
emu:/test/etaxonomy/1002671-0,Carrollite,,,,,,,
emu:/test/etaxonomy/1001007-1,Andesite,,,,,,,
emu:/test/etaxonomy/1006531-2,Hornblende,,,,,,,
emu:/test/etaxonomy/10026999-1,Rhyolite,,,,,,,
emu:/test/etaxonomy/1000176-2,Epidote,,,,,,,
emu:/test/etaxonomy/1014731-0,Uraninite,,,,,,,
emu:/test/etaxonomy/1006198-1,Gummite,,,,,,,
emu:/test/etaxonomy/1011213-0,Rhyolite pumice,,,,,,,
emu:/test/etaxonomy/1003276-0,Clarkeite,,,,,,,
emu:/test/etaxonomy/1003903-1,Zircon (var. cyrtolite),,,,,,,
emu:/test/etaxonomy/1014949-0,Volcanic bomb,,,,,,,
emu:/test/etaxonomy/1014979-0,Volcanic rock,,,,,,,
emu:/test/etaxonomy/1007283-0,Kaolinite,,,,,,,
emu:/test/etaxonomy/1014255-1,Topaz,,,,,,,
emu:/test/etaxonomy/1007874-2,Muscovite (var. leverrierite),,,,,,,
emu:/test/etaxonomy/1002472-0,Calciovolborthite,,,,,,,
emu:/test/etaxonomy/1002452-1,Calcibarthite,,,,,,,
emu:/test/etaxonomy/1003204-0,Chromite,,,,,,,
emu:/test/etaxonomy/1012420-0,Scheelite,,,,,,,
emu:/test/etaxonomy/1009544-0,Northupite,,,,,,,
emu:/test/etaxonomy/1010704-1,Pirssonite,,,,,,,
emu:/test/etaxonomy/1002152-2,Borax,,,,,,,
emu:/test/etaxonomy/1005321-0,Gaylussite,,,,,,,
emu:/test/etaxonomy/1011063-0,Prehnite,,,,,,,
emu:/test/etaxonomy/1006479-0,Hisingerite,,,,,,,
emu:/test/etaxonomy/1006315-0,Haüyne,,,,,,,
emu:/test/etaxonomy/1002802-0,Chabazite,,,,,,,
emu:/test/etaxonomy/1010522-1,Phacolite,,,,,,,
emu:/test/etaxonomy/1000563-0,Quartz (var. agate),,,,,,,
emu:/test/etaxonomy/1002351-0,Brucite,,,,,,,
emu:/test/etaxonomy/1013913-0,Talc,,,,,,,
emu:/test/etaxonomy/1002757-1,Cerolite,,,,,,,
emu:/test/etaxonomy/1012135-0,Samarskite,,,,,,,
emu:/test/etaxonomy/1003487-1,Columbite,,,,,,,
emu:/test/etaxonomy/1014404-0,Triplite,,,,,,,
emu:/test/etaxonomy/1014099-0,Thénardite,,,,,,,
emu:/test/etaxonomy/1010704-0,Pirssonite,,,,,,,
emu:/test/etaxonomy/1007692-0,Lausenite,,,,,,,
emu:/test/etaxonomy/1011979-1,Rogersite,,,,,,,
emu:/test/etaxonomy/1005260-0,Garnet,,,,,,,
emu:/test/etaxonomy/1015296-1,Wollastonite,,,,,,,
emu:/test/etaxonomy/1005450-0,Glauberite,,,,,,,
emu:/test/etaxonomy/1004281-0,Dolomite,,,,,,,
emu:/test/etaxonomy/1002482-1,Calcite (aragonite),,,,,,,
emu:/test/etaxonomy/1001088-0,Andorite,,,,,,,
emu:/test/etaxonomy/10590084-1,Baryte,,,,,,,
emu:/test/etaxonomy/1013856-0,Symplesite,,,,,,,
emu:/test/etaxonomy/1002730-0,Celestine,,,,,,,
emu:/test/etaxonomy/1011324-0,Pyrochlore,,,,,,,
emu:/test/etaxonomy/1000155-0,Aeschynite-(Ce),,,,,,,
emu:/test/etaxonomy/1000703-2,Almandine,,,,,,,
emu:/test/etaxonomy/1001996-3,Biotite,,,,,,,
emu:/test/etaxonomy/1006257-0,Halloysite,,,,,,,
emu:/test/etaxonomy/1008542-0,Margarite,,,,,,,
emu:/test/etaxonomy/1001996-0,Biotite,,,,,,,
emu:/test/etaxonomy/1012330-1,Sanidine,,,,,,,
emu:/test/etaxonomy/1012870-0,Serpentine,,,,,,,
emu:/test/etaxonomy/1004674-0,Euxenite,,,,,,,
emu:/test/etaxonomy/1006891-0,Muscovite (var. illite),,,,,,,
emu:/test/etaxonomy/1012365-1,Sarospatakite,,,,,,,
emu:/test/etaxonomy/1012365-0,Sarospatakite,,,,,,,
emu:/test/etaxonomy/1002224-1,Bravaisite,,,,,,,
emu:/test/etaxonomy/1004493-0,Ellestadite,,,,,,,
emu:/test/etaxonomy/1013854-0,Sylvite,,,,,,,
emu:/test/etaxonomy/1007733-0,Diopside (var. lavrovite),,,,,,,
emu:/test/etaxonomy/1014141-0,Thucholite,,,,,,,
emu:/test/etaxonomy/1006336-0,Hedenbergite,,,,,,,
emu:/test/etaxonomy/1000608-0,Åkermanite,,,,,,,
emu:/test/etaxonomy/1010500-1,Pervoskite,,,,,,,
emu:/test/etaxonomy/1008695-0,Melilite,,,,,,,
emu:/test/etaxonomy/1010495-1,Perovskite,,,,,,,
emu:/test/etaxonomy/1006195-0,Gümbelite,,,,,,,
emu:/test/etaxonomy/1013019-1,Shungite,,,,,,,
emu:/test/etaxonomy/1006195-2,Gümbelite,,,,,,,
